08:06:06 [INFO]   Guardado en Neo4j correctamente.
08:06:06 [INFO] Procesando: /home/mariano/projects/notaria/input/normas/sociedades/RG/articulos_RG15-2024/Articulo_295.txt
08:06:06 [INFO] HTTP Request: POST http://127.0.0.1:11434/api/chat "HTTP/1.1 200 OK"
08:06:23 [INFO]   Nodos extraídos    : 1
08:06:23 [INFO]   Relaciones extraídas: 0
08:06:23 [INFO]     [Articulo] Art_295_RG_15_2024
08:06:24 [INFO] HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-001:batchEmbedContents "HTTP/1.1 200 OK"
08:06:26 [INFO]   Guardado en Neo4j correctamente.
08:06:26 [INFO] Procesando: /home/mariano/projects/notaria/input/normas/sociedades/RG/articulos_RG15-2024/Articulo_296.txt
08:06:26 [INFO] HTTP Request: POST http://127.0.0.1:11434/api/chat "HTTP/1.1 200 OK"
08:06:46 [INFO]   Nodos extraídos    : 1
08:06:46 [INFO]   Relaciones extraídas: 2
08:06:46 [INFO]     [Articulo] Art_296_RG_15_2024
08:06:46 [INFO]     Art_296_RG_15_2024 -[MENCIONA]-> AsociacionCivil
08:06:46 [INFO]     Art_296_RG_15_2024 -[MENCIONA]-> Fundacion
08:06:48 [INFO] HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-001:batchEmbedContents "HTTP/1.1 200 OK"
08:06:49 [INFO]   Guardado en Neo4j correctamente.
08:06:50 [INFO] Procesando: /home/mariano/projects/notaria/input/normas/sociedades/RG/articulos_RG15-2024/Articulo_297.txt
08:06:50 [INFO] HTTP Request: POST http://127.0.0.1:11434/api/chat "HTTP/1.1 200 OK"
08:07:09 [INFO]   Nodos extraídos    : 1
